Unique ID,Post,Labels Set,Filtered_Post
4803,"गोवा: मनोहर पर्रिकर के बेटे ने कहा- पापा के निधन के बाद BJP का रास्ता बदल गया है

https://t.co/FyARChmUxA",non-hostile,गोवा: मनोहर पर्रिकर बेटे कहा- पापा निधन BJP रास्ता बदल https://t.co/FyARChmUxA
4804,"माशाल्लाह!! स्वीडन में मुस्लिमों ने 'ह्यूमन चैन' बनाई ताकि स्वीडिश चर्चों और यहूदी उपासनागृह को भीड़ के हमले से बचाया जा सके | इसलिए मुस्लिम शरणार्थी किसी अन्य शरणार्थियों से बेहतर हैं | आपने कभी किसी क्रिस्चियन, यहूदी या हिन्दू को देखा है मस्जिद बचाते हुए? नहीं, क्योंकि इस्लाम ही दुनिया में एकमात्र शांतिप्रिय धर्म है और दुनिया कभी शांत नहीं रह सकती तब तक जब तक पूरी दुनिया इस्लाम न अपना ले |

","fake,hate","माशाल्लाह!! स्वीडन मुस्लिमों 'ह्यूमन चैन' बनाई ताकि स्वीडिश चर्चों यहूदी उपासनागृह भीड़ हमले बचाया सके | मुस्लिम शरणार्थी शरणार्थियों बेहतर | आपने क्रिस्चियन, यहूदी हिन्दू देखा मस्जिद बचाते हुए? नहीं, क्योंकि इस्लाम दुनिया एकमात्र शांतिप्रिय धर्म दुनिया शांत रह पूरी दुनिया इस्लाम ले |"
4805,"लाइव : राष्ट्रीय शिक्षा नीति 2020 के संबंध में #presidentkovind और प्रधानमंत्री @narendramodi राज्यपालों के सम्मेलन को वीडियो कॉफ्रेंस के माध्यम से कर रहे हैं संबोधित 

#NEP2020 

@rashtrapatibhvn @EduMinOfIndia @DrRPNishank 

देखे लाइव 👇
https://t.co/fZY6UJmCAL",non-hostile,लाइव : राष्ट्रीय शिक्षा नीति 2020 संबंध #presidentkovind प्रधानमंत्री @narendramodi राज्यपालों सम्मेलन वीडियो कॉफ्रेंस माध्यम संबोधित #NEP2020 @rashtrapatibhvn @EduMinOfIndia @DrRPNishank देखे लाइव 👇 https://t.co/fZY6UJmCAL
4806,"BSNL ने लॉन्च किया नया 1,499 रुपये का प्लान, मिलेगी 395 दिनों की वैधता
https://t.co/BLphjnkKTL",non-hostile,"BSNL लॉन्च नया 1,499 रुपये प्लान, मिलेगी 395 दिनों वैधता https://t.co/BLphjnkKTL"
4807,हिमाचल प्रदेश विधानसभा का मॉनसून सत्र आज शिमला में शुरू हुआ https://t.co/KXBcKRbij8,non-hostile,हिमाचल प्रदेश विधानसभा मॉनसून सत्र शिमला शुरू https://t.co/KXBcKRbij8
4808,"शेर लम्बी छलांग लगाने के चक्कर में इतना पीछे चला गया कि खाई में ही जा गिरा!!🤣

INDIAN GDP  -23.9% 🙄",defamation,शेर लम्बी छलांग लगाने चक्कर इतना पीछे चला खाई गिरा!!🤣 INDIAN GDP -23.9% 🙄
4809,RT @WasiuddinSiddi1: सुबह से सोशल मीडिया पे ये वीडियो लाइम लाइट में है लेकिन यूपी पुलिस का कोई जवाब नही आया ? घटना जिला शामली उत्तर प्रदेश…,offensive,RT @WasiuddinSiddi1: सुबह सोशल मीडिया वीडियो लाइम लाइट यूपी पुलिस जवाब नही आया ? घटना जिला शामली उत्तर प्रदेश…
4810,"आप के whatsapp पे जितने भी नंबर एवं ग्रुप हैं एक भी छूटने नही चाहिए, ये वीडियो सबको भेजिए ये वलसाड के RM VM SCHOOL का टीचर है इसको इतना शेयर करो की ये टीचर और स्कूल दोनों बंद हो जाए ।
",fake,"whatsapp जितने नंबर ग्रुप छूटने नही चाहिए, वीडियो सबको भेजिए वलसाड RM VM SCHOOL टीचर इसको इतना शेयर करो टीचर स्कूल जाए"
4811,पीएम मोदी ने 14 अप्रैल को दी गई स्पीच में झूठे दावे किए,fake,पीएम मोदी 14 अप्रैल दी स्पीच झूठे दावे
4812,"फ़्रांस की चार्ली हेब्दो ने फिर पैगंबर मोहम्मद का कार्टून छापा -
मैग्जीन ने कहा हम नहीं झुकेंगे..

क्या अब पूरा विश्व ईट का जवाब पत्थर से देने को तैयार तो नहीं हो रहा है..?",hate,फ़्रांस चार्ली हेब्दो पैगंबर मोहम्मद कार्टून छापा - मैग्जीन झुकेंगे.. विश्व ईट जवाब पत्थर देने तैयार है..?
4813,"*कल स्वतंत्रता दिवस के अवसर पर तिरंगे को छोड़कर,नीला झंडा फहराया,पुलिस पहुंच गई और अपना डंडा लहराने लगी।*
😂😂🤣🤣",fake,"*कल स्वतंत्रता दिवस अवसर तिरंगे छोड़कर,नीला झंडा फहराया,पुलिस पहुंच डंडा लहराने लगी।* 😂😂🤣🤣"
4814,@RahulGandhi आत्महत्या करने की कगार पर पहुंच गई हूं  रोजी रोजगार सब छीन ली गई आर्मी स्टोर  चालू की थी जीने के लिए अंध भक्त आर्मी अफसर उसे भी नहीं चलने दे रहे हैं आर एस एस बीजेपी के इशारे पर यह बहुत ही कमीना घटिया किस्म के इंसान गरीब के ऊपर भी पावर इस्तेमाल कर लेती हैं,defamation,@RahulGandhi आत्महत्या कगार पहुंच हूं रोजी रोजगार सब छीन ली आर्मी स्टोर चालू जीने अंध भक्त आर्मी अफसर चलने दे आर बीजेपी इशारे कमीना घटिया किस्म इंसान गरीब पावर इस्तेमाल लेती
4815,फर्जी मेडिकल दस्तावेज के मामले में शिकायत दर्ज कराते हुए #RheaChakraborty ने दोनों की भूमिका की जांच की मांग की है। https://t.co/hdLmHyFZ5o,non-hostile,फर्जी मेडिकल दस्तावेज मामले शिकायत दर्ज कराते #RheaChakraborty भूमिका जांच मांग है। https://t.co/hdLmHyFZ5o
4816,"देश में #COVID19 के रोगियों के स्‍वस्‍थ होने की दर बढ़कर 76.94%  हो गई, स्‍वास्‍थ्‍य मंत्रालय ने कहा है कि अब तक लगभग 28 लाख 40 हजार लोग ठीक हो चुके हैं, स्‍वस्‍थ होने वालों की संख्‍या जुलाई के पहले सप्‍ताह के मुकाबले अगस्‍त के आखिरी सप्‍ताह में चार गुना अधिक हो गई
@MoHFW_INDIA https://t.co/DEtMqtxgwR",non-hostile,"देश #COVID19 रोगियों स्‍वस्‍थ दर बढ़कर 76.94% गई, स्‍वास्‍थ्‍य मंत्रालय लगभग 28 लाख 40 हजार लोग ठीक चुके हैं, स्‍वस्‍थ वालों संख्‍या जुलाई सप्‍ताह मुकाबले अगस्‍त आखिरी सप्‍ताह चार गुना अधिक @MoHFW_INDIA https://t.co/DEtMqtxgwR"
4817,"#समाचार_संध्या

◾ पूर्व राष्‍ट्रपति प्रणब मुखर्जी का लम्‍बी बीमारी के बाद निधन। अनुभवी राजनेता के खोने से राष्‍ट्र में शोक की लहर।  

◾ राष्‍ट्रपति, उपराष्‍ट्रपति और प्रधानमंत्री ने उनके निधन पर शोक व्‍यक्‍त किया।

https://t.co/KVfnojSEHl",non-hostile,"#समाचार_संध्या ◾ पूर्व राष्‍ट्रपति प्रणब मुखर्जी लम्‍बी बीमारी निधन। अनुभवी राजनेता खोने राष्‍ट्र शोक लहर। ◾ राष्‍ट्रपति, उपराष्‍ट्रपति प्रधानमंत्री निधन शोक व्‍यक्‍त किया। https://t.co/KVfnojSEHl"
4818,"यूपीः बांदा में प्रेमिका ने की खुदकुशी तो प्रेमी ने ट्रेन के आगे कूदकर दी जान

#Suicide #Banda #UPPolice #YogiAdityanath 

https://t.co/vPXd6ZAznF",non-hostile,यूपीः बांदा प्रेमिका खुदकुशी प्रेमी ट्रेन कूदकर दी जान #Suicide #Banda #UPPolice #YogiAdityanath https://t.co/vPXd6ZAznF
4819,"ले लो, ले लो, ओ आओ ख़रीदार, सौदा खरा खरा। 
मेरे खून में है व्यापार, मैं बेचूँ जो चाहूँ यार, सौदा खरा खरा।
नौकरी हो या शिक्षा , अब सौदा खरा खरा। 
मैं देश नही बिकने दूँगा, सौगंध मुझे इस मिट्टी की मैं मुफ़्त में नही कुछ बेचूँगा ,क्योकि मेरे खून में व्यापार है। 😊",non-hostile,"ले लो, ले लो, ओ आओ ख़रीदार, सौदा खरा खरा। मेरे खून व्यापार, बेचूँ चाहूँ यार, सौदा खरा खरा। नौकरी शिक्षा , सौदा खरा खरा। देश नही बिकने दूँगा, सौगंध मुझे मिट्टी मुफ़्त नही बेचूँगा ,क्योकि मेरे खून व्यापार है। 😊"
4820,"लाल चौंक श्रीनगर, जहां कभी तिरंगा फहराने के लिए भारतीय जान की बाजी लगाया करते थे,
आज गर्व के साथ हिन्दुस्तान की शान का प्रतीक “तिरंगा” लहलहा रहा है ।
जय हिन्द-जय हिन्द-जय हिन्द🇮🇳🇮🇳🇮🇳",fake,"लाल चौंक श्रीनगर, तिरंगा फहराने भारतीय जान बाजी लगाया थे, गर्व हिन्दुस्तान शान प्रतीक “तिरंगा” लहलहा जय हिन्द-जय हिन्द-जय हिन्द🇮🇳🇮🇳🇮🇳"
4821,"महिला डॉक्टर ने बिहार के सबसे बड़े अस्पताल PMCH पर भयावह आरोप लगाते हुए कहा है कि PMCH में उनके पिताजी का इलाज नहीं हुआ, उनको साज़िश के तहत मार कर उनके शरीर से कुछ अंग निकाल लिए गए। महिला डॉक्टर का ये भी आरोप है कि अस्पताल में अंग तस्करी चल रही है।

वाकई #NitishKumarSabseBekar",non-hostile,"महिला डॉक्टर बिहार अस्पताल PMCH भयावह आरोप लगाते PMCH पिताजी इलाज हुआ, साज़िश मार शरीर अंग निकाल गए। महिला डॉक्टर आरोप अस्पताल अंग तस्करी चल है। वाकई #NitishKumarSabseBekar"
4822,"टीवी पर फिर शुरू हुआ सुशांत का शो ‘पवित्र रिश्ता’, अंकिता लोखंडे बोली-'फिर एक बार...'
https://t.co/GzFpyJZF5X",non-hostile,"टीवी शुरू सुशांत शो ‘पवित्र रिश्ता’, अंकिता लोखंडे बोली-'फिर बार...' https://t.co/GzFpyJZF5X"
4823,"मोटा साला ठुमुक ठुमुक 
अब ना तो उसको लाज हो 
बंद करो गलियन में उसको 
जब नेता जी नालायक हो 

#संजय_सिंह_गुंडा_है https://t.co/dceAETBgLI",offensive,मोटा साला ठुमुक ठुमुक उसको लाज करो गलियन उसको नेता जी नालायक #संजय_सिंह_गुंडा_है https://t.co/dceAETBgLI
4824,"#Meerut स्कूल प्रिसिंपल ने आत्महत्या की कोशिश की, स्कूल बंद होने से झेल रहा आर्थिक संकट, जरूरत पर साहूकारों से लिया था कर्जा, वसूली के लिए प्रताड़ित कर रहे साहूकार, 2 दिन पहले स्कूटी को छीनी, गंभीर हालत में अस्पताल में भर्ती, लिसाड़ीगेट के जाकिर कालोनी का मामला। @meerutpolice",non-hostile,"#Meerut स्कूल प्रिसिंपल आत्महत्या कोशिश की, स्कूल झेल आर्थिक संकट, जरूरत साहूकारों कर्जा, वसूली प्रताड़ित साहूकार, 2 दिन स्कूटी छीनी, गंभीर हालत अस्पताल भर्ती, लिसाड़ीगेट जाकिर कालोनी मामला। @meerutpolice"
4825,ये व्यक्ति कानपुर में आठ पुलिसवालों की हत्या करने वाला विकास दुबे है।,fake,व्यक्ति कानपुर आठ पुलिसवालों हत्या वाला विकास दुबे है।
4826,"जीवन में कितना खाते हैं यह महत्वपूर्ण नहीं है,क्या खाते हैं यह महत्वपूर्ण है। खाना पौष्टिक होना चाहिए। 
मेरा आप सभी से आग्रह है कि अपने क्षेत्र या परिवार में प्रचलित पौष्टिक स्थानीय व्यंजन बनाने की विधि @mygovindia   https://t.co/zoGZ2CrY9w पर साझा करें। 
#Local4Poshan https://t.co/r1wbXkKxOy",non-hostile,"जीवन खाते महत्वपूर्ण है,क्या खाते महत्वपूर्ण है। खाना पौष्टिक चाहिए। आग्रह क्षेत्र परिवार प्रचलित पौष्टिक स्थानीय व्यंजन बनाने विधि @mygovindia https://t.co/zoGZ2CrY9w साझा करें। #Local4Poshan https://t.co/r1wbXkKxOy"
4827,"ICMR ने पहले स्वदेशी रूप से विकसित COVID19 वायरस टेस्ट किट को मंजूरी दे दी; 4,500 रुपये प्रति टेस्ट वर्तमान लागत के मुकाबले 1200 रुपये प्रति टेस्ट होगी लागत ; डीआरडीओ के अनुसार, कई उपयोगी वेंटिलेटर और आइसोलेशन ट्यूब सहित स्वदेशी उपकरण तैयार किए गये हैं।
#CoronavirusOutbreak",non-hostile,"ICMR स्वदेशी रूप विकसित COVID19 वायरस टेस्ट किट मंजूरी दे दी; 4,500 रुपये टेस्ट वर्तमान लागत मुकाबले 1200 रुपये टेस्ट होगी लागत ; डीआरडीओ अनुसार, उपयोगी वेंटिलेटर आइसोलेशन ट्यूब सहित स्वदेशी उपकरण तैयार हैं। #CoronavirusOutbreak"
4828,"मांझी की 'नैया' पार लगाएंगे सोनू सूद: काशी में 350 नाविक परिवारों के लिए समाजसेवी ने बॉलीवुड एक्टर सोनू सूद से मांगी मदद, महज 39 मिनट में आया रिप्लाई- अब कोई भूखा नहीं सोएगा
https://t.co/S5orP7dVz7 #Varanasi @SonuSood @PMOIndia @narendramodi",non-hostile,"मांझी 'नैया' पार लगाएंगे सोनू सूद: काशी 350 नाविक परिवारों समाजसेवी बॉलीवुड एक्टर सोनू सूद मांगी मदद, महज 39 मिनट आया रिप्लाई- भूखा सोएगा https://t.co/S5orP7dVz7 #Varanasi @SonuSood @PMOIndia @narendramodi"
4829,"मोस्ट डिमांडिंग कार: न मारुति बलेनो और न हुंडई क्रेटा, अगस्त में इस कार को लोगों ने सबसे ज्यादा खरीदा; इसने ऑल्टो और वैगनआर को भी छोड़ा पीछे https://t.co/t9oqPHl7fd #MostDemandingCar #Car #Automobile",non-hostile,"मोस्ट डिमांडिंग कार: मारुति बलेनो हुंडई क्रेटा, अगस्त कार लोगों खरीदा; इसने ऑल्टो वैगनआर छोड़ा पीछे https://t.co/t9oqPHl7fd #MostDemandingCar #Car #Automobile"
4830,"मुख्यमंत्री श्री @myogiadityanath जी कल, बीआरडी मेडिकल कॉलेज में बाल चिकित्सा संस्थान में 300 शैय्या कोविड हॉस्पिटल लेवल-3 के चिकित्सालय का लोकार्पण करेंगे: ACS, गृह व सूचना, श्री @AwasthiAwanishK जी 

@ShishirGoUP",non-hostile,"मुख्यमंत्री श्री @myogiadityanath जी कल, बीआरडी मेडिकल कॉलेज बाल चिकित्सा संस्थान 300 शैय्या कोविड हॉस्पिटल लेवल-3 चिकित्सालय लोकार्पण करेंगे: ACS, गृह सूचना, श्री @AwasthiAwanishK जी @ShishirGoUP"
4831,ऑस्ट्रेलिया तीन दशकों में पहली बार मंदी की चपेट में https://t.co/rgrtrqaQf7,non-hostile,ऑस्ट्रेलिया तीन दशकों पहली बार मंदी चपेट https://t.co/rgrtrqaQf7
4832,"फ्रांस: राफेल उड़ाने के बाद बोले एयर वाइस चीफ- राफेल और सुखोई का गठजोड़ दुश्मनों पर पड़ेगा भारी

https://t.co/EIY6nDZvrI",non-hostile,फ्रांस: राफेल उड़ाने बोले एयर वाइस चीफ- राफेल सुखोई गठजोड़ दुश्मनों पड़ेगा भारी https://t.co/EIY6nDZvrI
4833,"ट्रैक पर लौटे करन:फिल्में बनाने वाले करन जौहर ने बच्चों की परवरिश पर लिख डाली किताब, नाम दिया- द बिग थॉट्स ऑफ लिटिल लव
https://t.co/4LrJfXzoT6

@karanjohar",non-hostile,"ट्रैक लौटे करन:फिल्में बनाने करन जौहर बच्चों परवरिश लिख डाली किताब, नाम दिया- द बिग थॉट्स ऑफ लिटिल लव https://t.co/4LrJfXzoT6 @karanjohar"
4834,"हम तो सच बोलते हैं,
किसी किसी को पैलेट गन जैसा लग जाता है😂😂",offensive,"सच बोलते हैं, पैलेट गन लग है😂😂"
4835,"पूरे भारत मे मज़हबी उन्मादियों का ख़ौफनाक रूप सड़को पर नंगी तलवारों के साथ लग रहे नारे- चड्ढा चड्ढी वालों को, गोली मारो, सालों को मौत का इशारा #RSS व अन्य हिन्दू संगठनों के कार्यकर्ताओं की तरफ़।",fake,"भारत मज़हबी उन्मादियों ख़ौफनाक रूप सड़को नंगी तलवारों लग नारे- चड्ढा चड्ढी वालों को, गोली मारो, सालों मौत इशारा #RSS हिन्दू संगठनों कार्यकर्ताओं तरफ़।"
4836,"बिहार: पूर्व CM जीतन राम मांझी ने बिना किसी शर्त के NDA में शामिल होने का किया ऐलान

रिपोर्टः- @kumarprakash4u 

#NDA #JitanRamManjhi #BJP #JDU #Bihar 

https://t.co/C3I5F3vnot",non-hostile,बिहार: पूर्व CM जीतन राम मांझी बिना शर्त NDA शामिल ऐलान रिपोर्टः- @kumarprakash4u #NDA #JitanRamManjhi #BJP #JDU #Bihar https://t.co/C3I5F3vnot
4837,"RT @ReshmaHindusta1: मकान पे बुलडोज़र चलने पर इतनी बौखलाहट क्यों,""🤔

मज़दूरों पर ट्रेनें चल गई थी तब तो मुँह पे ताले लग गए थे,""😠",hate,"RT @ReshmaHindusta1: मकान बुलडोज़र चलने इतनी बौखलाहट क्यों,""🤔 मज़दूरों ट्रेनें चल मुँह ताले लग थे,""😠"
4838,@SanjayAzadSln साला टिकट ब्लैक करने वाला हमेशा एक नंबर का chutiya ही रहेगा. कुत्ते को ghee हजम ही नहीं होता,offensive,@SanjayAzadSln साला टिकट ब्लैक वाला हमेशा नंबर chutiya रहेगा. कुत्ते ghee हजम
4839,"युद्ध में कैदी बनने पर घोरी को पृथ्वीराज ने और अमरीका में ड्रग के साथ पकडे जाने पर राहुल गाँधी को अटलजी ने छुड़वा कर गलती कर दी थी

ये मोटाभाई है गलती करना ही नहीं आता.👍👍",hate,युद्ध कैदी बनने घोरी पृथ्वीराज अमरीका ड्रग पकडे राहुल गाँधी अटलजी छुड़वा गलती दी मोटाभाई गलती आता.👍👍
4840,"मोदीजी @narendramodiकोरोना काल मे डॉक्टर को महान योद्धाओ के रूप मे बोल रहे थे,किन्तु उत्तर प्रदेश के मुजफ्फरनगर मे गर्ग हास्पीटल का एक डाक्टर कोरोना मरीज से गुर्दे निकाल कर बेचने का प्रयास करता पकड़ा गया। #मानवता खत्म हो गयी है डॉ के पेशे को कलंकित कर दिया । @myogiadityanath",fake,"मोदीजी @narendramodiकोरोना काल डॉक्टर महान योद्धाओ रूप बोल थे,किन्तु उत्तर प्रदेश मुजफ्फरनगर गर्ग हास्पीटल डाक्टर कोरोना मरीज गुर्दे निकाल बेचने प्रयास पकड़ा गया। #मानवता खत्म डॉ पेशे कलंकित @myogiadityanath"
4841,".@narendramodi जी, क्या आप इनके चेहरे की बेबसी को आप पढ़ पा रहे हैं? 
कुछ तो करो सरकार..
",fake,".@narendramodi जी, चेहरे बेबसी पढ़ पा हैं? करो सरकार.."
4842,यही सबके साथ हुआ है और आगे होना है । https://t.co/NUjHKWAltn,non-hostile,सबके https://t.co/NUjHKWAltn
4843,"ये कांग्रेस वाले, अध्यक्ष पद वाला ड्रामा समय 
समय पर ये टेस्ट करने के लिए करते है, 

कि सारे चमचे ठीक से गुलाम बने हुए है ना?
कही किसी के पर तो नहीं निकल आए...
😂😂😂😜😜😜",defamation,"कांग्रेस वाले, अध्यक्ष पद वाला ड्रामा टेस्ट है, चमचे ठीक गुलाम बने ना? कही आए... 😂😂😂😜😜😜"
4844,"मुंबई: गोरेगांव में नाले में गिरे 2 साल के दिव्यांश का 24 घंटे बाद भी सुराग नहीं, पिता का BMC पर लापरवाही का आरोप
रिपोर्ट- @MrityunjayNews 
https://t.co/lCKBvReLdm https://t.co/P9965UgfMP",non-hostile,"मुंबई: गोरेगांव नाले गिरे 2 साल दिव्यांश 24 घंटे सुराग नहीं, पिता BMC लापरवाही आरोप रिपोर्ट- @MrityunjayNews https://t.co/lCKBvReLdm https://t.co/P9965UgfMP"
4845,"महाराष्ट्र सरकार और प्रशाशन सन्तों को न्याय नहीं देगा

सन्तों के न्याय के किये CBI जांच जरूरी है",hate,महाराष्ट्र सरकार प्रशाशन सन्तों न्याय देगा सन्तों न्याय किये CBI जांच जरूरी
4846,@BBCHindi यह देशवासियों को कोरोना में झोंक कर मारना चाहते थे खुद मरेंगे जैसी करनी वैसी भरनी आज डब्ल्यूएचओ ने पाकिस्तान को विश्व गुरु की तरह दिखा रही है कि कोरोना से कैसे लड़ी जाती है दुनिया को पाकिस्तान से सीखना चाहिए यह मेरी शब्द नहीं डब्ल्यूएचओ की है,"defamation,hate",@BBCHindi देशवासियों कोरोना झोंक मारना चाहते मरेंगे जैसी करनी वैसी भरनी डब्ल्यूएचओ पाकिस्तान विश्व गुरु दिखा कोरोना लड़ी दुनिया पाकिस्तान सीखना मेरी शब्द डब्ल्यूएचओ
4847,"RT @_Pb_swain_: जितना पत्रकार पेट के लिए लिखतें हैं उतना मैं देश और धर्म के लिए लिखता हूँ..✍️

इसी से बहुतों का पेट दर्द होता है - 
पर मुझे…",defamation,RT @_Pb_swain_: पत्रकार पेट लिखतें उतना देश धर्म लिखता हूँ..✍️ बहुतों पेट दर्द - मुझे…
4848,"यूपी: प्रयागराज में कोरोना के 314 नए मामले, रविवार को हुई 5 मरीजों की मौत

#Corona #CoronaPositive #Prayagraj 

https://t.co/Gr6SW9xN0S",non-hostile,"यूपी: प्रयागराज कोरोना 314 नए मामले, रविवार 5 मरीजों मौत #Corona #CoronaPositive #Prayagraj https://t.co/Gr6SW9xN0S"
4849,कपिल शर्मा शो का मैं पूर्ण बहिष्कार करती हूँ। क्योंकि सलमान खान उसका प्रोड्यूसर है।,fake,कपिल शर्मा शो पूर्ण बहिष्कार करती हूँ। क्योंकि सलमान खान प्रोड्यूसर है।
4850,"पुलवामा आतंकी हमला भाजपा की साज़िश थी
भारतीय जनता पार्टी की करतूत थी। वह अपने दावे को पुख्ता करने के लिए एक ऑडियो क्लिप भी प्रस्तुत करते है जिसमें गृह मंत्री राजनाथ सिंह, बीजेपी प्रमुख अमित शाह और एक अज्ञात महिला के बीच कथित बातचीत रिकॉर्ड की गई है।


कश्मीर के पुलवामा में सीआरपीएफ के जवानों के काफ़िले पर हुए हालिया हमले के पीछे एक खतरनाक साज़िश है।

",fake,"पुलवामा आतंकी हमला भाजपा साज़िश भारतीय जनता पार्टी करतूत थी। दावे पुख्ता ऑडियो क्लिप प्रस्तुत गृह मंत्री राजनाथ सिंह, बीजेपी प्रमुख अमित शाह अज्ञात महिला कथित बातचीत रिकॉर्ड है। कश्मीर पुलवामा सीआरपीएफ जवानों काफ़िले हालिया हमले पीछे खतरनाक साज़िश है।"
4851,@silpashinde @sushant_says तेरे जैसी कूत्ती कमीनी मैने आज तक नहीं देखी।,hate,@silpashinde @sushant_says तेरे जैसी कूत्ती कमीनी मैने देखी।
4852,"#Fatehpur पुलिस ने बैट्री चोरी करने वाले गैंग का खुलासा किया, 53 चोरी की बैट्रियां बरामद की, गैंग के सरगना समेत 6 आरोपियों को किया गिरफ्तार, 3 तमंचे और कार पुलिस ने की बरामद, धाता थाने की पुलिस ने की कार्रवाई। @fatehpurpolice @Uppolice #UPPolice #policemedianews",non-hostile,"#Fatehpur पुलिस बैट्री चोरी गैंग खुलासा किया, 53 चोरी बैट्रियां बरामद की, गैंग सरगना समेत 6 आरोपियों गिरफ्तार, 3 तमंचे कार पुलिस बरामद, धाता थाने पुलिस कार्रवाई। @fatehpurpolice @Uppolice #UPPolice #policemedianews"
4853,"एक वीडियो वायरल हो रहा है जिसमें #SushantSinghRajput अपने पिता से मिली सीख के बारे में बात करते हुए नजर आ रहे हैं.

https://t.co/3u845hYH6k",non-hostile,वीडियो वायरल #SushantSinghRajput पिता मिली सीख बारे बात नजर आ हैं. https://t.co/3u845hYH6k
4854,@narendramodi बिहार वासियों संभल जाइए समझ जाइए इंसान को इलाज नहीं मिल रही है इंसान बीमारी से तरफ तरफ के मर रहे हैं जानवर की इलाज की बात कर रहा है यह बिलकुल फ्रॉड है झूठ बोलता है इसकी बात पर थोड़ा सा भी ध्यान मत दीजिए एमएसपी पर उसी तरह की झूठ है जिस तरह की  भारत में कोई नहीं घुसा,hate,@narendramodi बिहार वासियों संभल जाइए समझ जाइए इंसान इलाज मिल इंसान बीमारी तरफ तरफ मर जानवर इलाज बात फ्रॉड झूठ बोलता बात थोड़ा सा ध्यान मत दीजिए एमएसपी झूठ भारत घुसा
4855,"#Lucknow बाइक सवार युवकों ने युवती से की छेड़खानी, मनचले युवकों ने गाड़ी में की तोड़फोड़, बैंक की महिला सहकर्मी को छोड़ने जा रहा था, शोहदों की बाइक निकली SSP एसटीएफ के नाम. @lkopolice @LkoCp @Uppolice #policemedianews",non-hostile,"#Lucknow बाइक सवार युवकों युवती छेड़खानी, मनचले युवकों गाड़ी तोड़फोड़, बैंक महिला सहकर्मी छोड़ने था, शोहदों बाइक निकली SSP एसटीएफ नाम. @lkopolice @LkoCp @Uppolice #policemedianews"
4856,"आरा: JDU नेता ने यूनिवर्सिटी में घुसकर की प्रोफेसर की पिटाई, जानें- क्या है पूरा मामला

https://t.co/MkvAmfzKKZ",non-hostile,"आरा: JDU नेता यूनिवर्सिटी घुसकर प्रोफेसर पिटाई, जानें- मामला https://t.co/MkvAmfzKKZ"
4857,"सरकारी उपक्रम को  मोदी जी अपनी जागीर समझते हैं ।28 मार्च को PM care फण्ड बना  &amp; 31 मार्च तक मे 38 सरकारी उपक्रम से 2105 करोड़ ले लिया। पैसा सरकारी लेकिन ट्रस्टी बीजेपी के &amp;सरकारी ऑडिट से बाहर। क्या अंधेर है? कोविड के मरीजों को कोई मदद नही।
@INCIndia",non-hostile,सरकारी उपक्रम मोदी जी जागीर समझते ।28 मार्च PM care फण्ड बना &amp; 31 मार्च 38 सरकारी उपक्रम 2105 करोड़ ले लिया। पैसा सरकारी ट्रस्टी बीजेपी &amp;सरकारी ऑडिट बाहर। अंधेर है? कोविड मरीजों मदद नही। @INCIndia
4858,"#SushantSinghRajputCase | एनसीबी ऑफिस पहुंची रिया चक्रवर्ती
https://t.co/wptIYq7P3b",non-hostile,#SushantSinghRajputCase | एनसीबी ऑफिस पहुंची रिया चक्रवर्ती https://t.co/wptIYq7P3b
4859,"अगर आपसे हो गई है ये बड़ी गलती, तो इस आसान तरीके से आपको वापस मिल जाएगी अपनी रकम  
#Business 
https://t.co/aW6Cx56VP9",non-hostile,"आपसे बड़ी गलती, आसान तरीके आपको वापस मिल जाएगी रकम #Business https://t.co/aW6Cx56VP9"
4860,"शाम को प्रदेश कार्यालय में आटो चालकों ने भोपाल जिला उपाध्यक्ष @ManojPalAAP जी के नेतृत्व में आम आदमी पार्टी की सदस्यता ग्रहण की।
.@AapKaGopalRai .@AamAadmiParty 
.@AAPMPOfficial https://t.co/S1V5Q4LD02",non-hostile,शाम प्रदेश कार्यालय आटो चालकों भोपाल जिला उपाध्यक्ष @ManojPalAAP जी नेतृत्व आम आदमी पार्टी सदस्यता ग्रहण की। .@AapKaGopalRai .@AamAadmiParty .@AAPMPOfficial https://t.co/S1V5Q4LD02
4861,"भूतपूर्व AAP नेता और बरिष्ठ पत्रकार आसुतोष किसपर हमला बोल रहा?

आज, आम आदमी पार्टी एक ऐसे मकाम पर खड़ी है, जहां हम गर्व के साथ कह सकते हैं कि भारत के भीतर अगर कोई एक पार्टी है जो पाकिस्तान की यात्रा कर चुके है, जो अपनी बीवियों पर कुत्ते तक छोड़ देते हैं, तो वह आम आदमी पार्टी है।

वीडियो में AAP नेता आशुतोष को पार्टी को लताड़ते हुए दिखाया गया है

",fake,"भूतपूर्व AAP नेता बरिष्ठ पत्रकार आसुतोष किसपर हमला बोल रहा? आज, आम आदमी पार्टी मकाम खड़ी है, गर्व कह भारत पार्टी पाकिस्तान यात्रा चुके है, बीवियों कुत्ते छोड़ देते हैं, आम आदमी पार्टी है। वीडियो AAP नेता आशुतोष पार्टी लताड़ते दिखाया"
